id	layer	num1	num2	num3	lon	pos	Station	st_x	st_y	lat	proximity_to_metro
streets_10802	streets	None	None	None	None	(24.68794528015, 46.756943626945102)	None	46.7569436269	24.6879452802	None	None
taz_8033	taz	4094	5807	861	46.701661	(24.69997, 46.701661000000001)	None	None	None	24.69997	1.46075824623
taz_8035	taz	4098	428	102	46.693058	(24.684431, 46.693058000000001)	None	None	None	24.684431	0.623563186666
taz_8034	taz	4093	3886	105	46.716085	(24.706537000000001, 46.716085)	None	None	None	24.706537	0.29010369793
taz_8037	taz	4096	6291	861	46.699612	(24.702009, 46.699612000000002)	None	None	None	24.702009	1.40410023841
taz_8036	taz	4097	5523	102	46.694475	(24.682098999999997, 46.694474999999997)	None	None	None	24.682099	0.907256872995
taz_8039	taz	4102	6051	858	46.691945	(24.698802000000001, 46.691945000000004)	None	None	None	24.698802	0.834605530476
taz_8038	taz	4095	7095	861	46.696001	(24.700503000000001, 46.696001000000003)	None	None	None	24.700503	1.28442998648
streets_6327	streets	None	None	None	None	(24.616199073694499, 46.824933262751209)	None	46.8249332628	24.6161990737	None	None
taz_1183	taz	2338	819	1347	46.717053	(24.627304000000002, 46.717053)	None	None	None	24.627304	0.230779250183
taz_1186	taz	2341	7637	1336	46.711588	(24.625152, 46.711587999999999)	None	None	None	24.625152	0.431962201267
taz_1187	taz	2342	3540	1336	46.7134	(24.625983999999999, 46.7134)	None	None	None	24.625984	0.238193024213
